route_id,stop_order,segment_id,segment_label,zone,planned_at_kst,forecast_at_kst,target_at_kst,predicted_travel_time_sec,baseline_travel_time_sec,expected_delay_sec,observed_speed_kmh,observed_traffic_state,risk_grade,risk_basis,exposure_proxy,model_status,confidence_or_warning,source_updated_at_kst,matched
demo-route-001,1,djtram-z01-ae5876728c09,계족로 상행(법동영진아파트삼거리),1,2026-07-15T09:00:00+09:00,2026-07-15T00:51:48+09:00,,,,,17.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,True
demo-route-001,2,djtram-z01-b199e8cb7b67,계족로 하행(법동영진아파트삼거리),1,2026-07-15T09:10:00+09:00,2026-07-15T00:51:48+09:00,,,,,28.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,True
demo-route-001,3,djtram-z12-e831632536b6,계백로 상행(유등교네거리 에서 버드내네거리),12,2026-07-15T09:30:00+09:00,2026-07-15T00:51:48+09:00,,,,,27.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,True
